PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,WinPCT,TS_PCT,PTS_per36,AST_per36,REB_per36,STL_per36,BLK_per36,TOV_per36
1641767,Ben Sheppard,Ben,1610612754,IND,24.0,65,16,49,0.246,21.4,2.6,6.0,0.434,1.3,3.6,0.362,0.6,0.8,0.765,0.7,2.3,3.0,1.8,0.6,0.6,0.1,0.4,1.8,0.7,7.1,-4.1,14.7,0,0,14.5,136,340,17,490,250,303,288,363,189,194,204,394,397,302,315,277,288,261,379,307,464,245,266,410,303,506,329,257,31,321,1,2025-26,0.234,0.5588790931989924,11.943925233644858,3.0280373831775704,5.046728971962617,1.0093457943925233,0.16822429906542058,1.0093457943925233
1626171,Bobby Portis,Bobby,1610612749,MIL,31.0,67,26,41,0.388,24.2,5.5,11.2,0.488,2.0,4.4,0.456,0.7,1.0,0.706,1.3,5.1,6.4,1.6,1.0,0.6,0.2,0.3,1.6,1.0,13.7,-4.0,25.1,11,0,25.2,105,220,50,389,196,105,110,184,79,138,27,353,341,396,122,54,67,287,271,303,377,294,300,319,120,497,149,50,31,133,1,2025-26,0.39,0.5884879725085911,20.380165289256198,2.3801652892561984,9.520661157024794,0.8925619834710744,0.2975206611570248,1.487603305785124
1630538,Bones Hyland,Bones,1610612750,MIN,25.0,68,41,27,0.603,16.2,2.9,6.5,0.452,1.5,4.0,0.38,0.8,1.1,0.778,0.3,1.4,1.7,2.6,0.9,0.6,0.2,0.4,1.7,0.9,8.2,1.7,15.6,0,0,15.6,92,74,201,175,355,274,263,302,145,169,151,328,334,276,472,418,448,171,288,314,335,219,282,347,259,135,313,257,31,292,1,2025-26,0.597,0.5870561282932416,18.22222222222222,5.777777777777779,3.777777777777778,1.3333333333333333,0.4444444444444445,2.0
1641764,Brandin Podziemski,Brandin,1610612744,GSW,23.0,77,36,41,0.468,28.4,4.7,10.4,0.451,1.8,5.0,0.369,2.2,2.8,0.781,0.9,4.4,5.3,3.8,1.6,1.1,0.2,0.4,1.7,2.8,13.5,0.1,27.9,5,0,27.0,9,127,50,345,117,135,131,305,107,108,182,112,116,268,211,83,112,84,137,91,359,263,272,89,128,236,120,94,31,117,1,2025-26,0.468,0.5802957359009628,17.112676056338028,4.816901408450704,6.71830985915493,1.3943661971830987,0.25352112676056343,2.0281690140845074
1627742,Brandon Ingram,Brandon,1610612761,TOR,28.0,72,40,32,0.556,33.8,7.9,16.8,0.472,1.8,4.7,0.377,3.7,4.6,0.82,0.8,4.8,5.6,3.6,2.5,0.8,0.7,0.9,2.0,3.5,21.4,0.3,35.5,2,0,35.3,55,85,128,233,22,25,25,233,115,120,156,47,49,193,256,71,95,98,45,225,86,37,222,56,31,219,50,150,31,45,1,2025-26,0.558,0.5684232894177644,22.792899408284025,3.8343195266272194,5.964497041420119,0.8520710059171599,0.7455621301775148,2.6627218934911245
1641706,Brandon Miller,Brandon,1610612766,CHA,23.0,61,39,22,0.639,30.2,7.0,16.1,0.437,3.2,8.2,0.392,3.1,3.5,0.892,1.0,4.0,5.0,3.4,2.6,1.0,0.7,0.5,2.8,2.7,20.4,5.8,34.1,3,0,35.4,181,94,275,134,81,46,34,350,12,12,109,70,81,63,175,106,133,108,40,127,94,192,40,97,41,34,62,122,31,43,1,2025-26,0.538,0.5782312925170068,24.31788079470199,4.052980132450331,5.960264900662252,1.1920529801324504,0.8344370860927153,3.099337748344371
1630314,Brandon Williams,Brandon,1610612742,DAL,26.0,65,22,43,0.338,22.1,4.4,9.4,0.47,0.6,2.4,0.234,3.6,4.6,0.795,0.5,2.4,2.9,3.9,1.9,0.9,0.3,0.8,1.6,3.6,13.0,-2.4,24.1,1,0,22.8,136,262,42,415,236,155,154,238,367,302,457,49,48,239,395,263,300,79,89,142,271,44,327,54,137,415,161,187,31,169,1,2025-26,0.312,0.5689775910364145,21.17647058823529,6.352941176470588,4.723981900452488,1.4660633484162897,0.4886877828054298,3.095022624434389
1641729,Brice Sensabaugh,Brice,1610612762,UTA,22.0,72,18,54,0.25,23.3,5.2,11.3,0.46,2.1,5.8,0.363,2.1,2.6,0.822,0.8,2.3,3.1,1.8,1.6,0.7,0.2,0.7,1.9,2.0,14.6,-4.3,22.1,0,0,23.4,55,314,5,481,208,116,109,270,67,72,202,119,133,187,271,281,284,249,135,240,386,97,237,167,105,509,198,257,31,160,1,2025-26,0.269,0.586628093860495,22.55793991416309,2.781115879828326,4.789699570815451,1.0815450643776823,0.3090128755364807,2.4721030042918457
201572,Brook Lopez,Brook,1610612746,LAC,38.0,70,38,32,0.543,21.5,3.0,7.1,0.423,1.5,4.2,0.354,0.7,0.9,0.773,0.5,2.9,3.4,1.3,0.8,0.6,1.2,0.2,2.0,1.2,8.2,0.8,18.9,1,0,18.0,77,106,128,250,249,264,238,393,153,154,230,350,363,286,354,213,247,337,339,292,30,372,218,274,261,184,245,187,31,251,1,2025-26,0.506,0.5469583778014941,13.730232558139534,2.1767441860465118,5.693023255813953,1.0046511627906978,2.0093023255813955,1.3395348837209302
1628971,Bruce Brown,Bruce,1610612743,DEN,29.0,78,50,28,0.641,24.3,3.0,6.3,0.47,0.7,1.8,0.39,1.1,1.5,0.761,1.0,2.7,3.8,2.0,1.1,1.0,0.2,0.5,2.4,1.2,7.8,-1.2,18.1,1,0,16.8,1,17,184,131,194,266,274,243,328,359,118,252,255,310,174,226,218,223,241,109,321,149,106,292,274,344,257,187,31,268,1,2025-26,0.641,0.5603448275862069,11.555555555555555,2.962962962962963,5.629629629629629,1.4814814814814814,0.29629629629629634,1.6296296296296298
